회사명,고유번호
밸류노믹스기업구조조정전문회사,424769
조창,223300
영지통상,360294
RosewellConsulting&InvestmentLtd.,425209
유리시티즌장기채권형사모펀드,433527
KTB장기채권형사모펀드3호,433536
KTB장기채권형사모펀드4호,433545
맥쿼리아이엠엠포세이돈채권형사모펀드4호,433554
마이에셋애국안정형1호펀드,433563
노보스,434702
세이유니온채권혼합형사모펀드,434711
LG드림혼합형펀드,434720
알파그로스주식형펀드,434739
유리알파헷지채권혼합형사모펀드,434748
알파헷지이기욱혼합형펀드,434757
맥쿼리IMM홀인원채권형펀드,434775
유리시장중립채권형사모펀드,434793
유리알파30채권혼합형사모펀드,434809
파워외환카드제사차유동화전문유한회사,432573
파워외환카드제이차유동화전문유한회사,432607
케드제이차유동화전문유한회사,432643
굿윌경영자문,323390
국제금속산업,412861
덕정무역,443913
삼성코닝마이크로옵틱스,315179
혜성건설,165264
코스모에쿼티파트너스,368171
경빈,369480
내외시스템,446196
태승어패럴,108311
금동조명,105615
태광정밀공업,360197
게르마니셀로이드코리아,360364
청우제강,366720
필리아텔레콤,273536
진도개발,443375
만남과축복,447511
영상산업,403872
쌈솔,441757
링크테크21,445221
건화메디팜,448769
윈윈창업투자,351357
지티웹코리아,371333
트랜스미디어매니지먼트,392716
남성유통,424398
무지개유동화전문유한회사,380322
엘지화학제일차유동화전문유한회사,387264
페가수스캐피탈아시아,425379
한솔케미언스제일차유동화전문유한회사,421595
삼천리M&C,128564
넥스트디앤드에스,304757
드림라인제일차유동화전문유한회사,407142
동국산업제일차유동화전문유한회사,408044
휴먼이노텍,112387
자도,423539
광전자INT,103981
굿케이디비제삼차유동화전문유한회사,416478
신엑스퍼트유동화전문,418801
비발디제일차유동화전문유한회사,419332
두산위브유동화전문유한회사,418078
코오롱폴리스유동화전문유한회사,419651
메디캐피탈,251695
파워외환카드제삼차유동화전문유한회사,432661
에이치에스비프로퍼티원인베스트먼트유동화전문유한회사,430858
서상금속,432670
세이한가족주식형펀드,434827
알파크레디트플러스채권형펀드,434872
알파국공채채권형사모펀드,434881
세이에이스알파혼합형펀드,434906
맥쿼리IMM코리아플러스채권형펀드,434915
맥쿼리IMM마켓뉴트럴혼합형사모펀드,434924
세이원채권형펀드,434933
그레이터차이나1호사모펀드,435093
윌러스,435109
디베스트사모엠엔에이펀드일호,431820
미래에셋프리미어전환혼합형이호펀드,398525
디지텔,260967
유리세이프롱숏채권혼합형펀드,378956
리젠트화재보험,164104
경남리스금융,101266
굿머니,412834
한소닉테크,226343
지산개발,150147
지구환경산업,416937
성도통상,132497
에프샵,216461
근영전자통신,369301
보해주정,360106
윈스텍,410483
조한도시개발,409928
대웅전기산업,209647
해피라인,370316
세원건설,134246
린나이씨에스,444806
성우전자,233112
미도산업개발,450986
덕성섬유,442206
기흥종합건설,361664
이에이치상사,370334
웨이브티브이,432616
유니크,405436
송학장갑,414319
위트비전,261610
월드무역,362432
오픈테크,415293
아피아,413204
차세대정보통신,413277
조흥신탁유동화전문회사,268455
오토일천구백구십구의일유동화전문유한회사,273606
한국토지신탁제이차유동화전문유한회사,303369
포커스제1차유동화전문유한회사,317043
베스트이지제일차유동화전문유한회사,328517
모비스코람유동화전문유한회사,341776
아이에스피,362131
한실흥산,427492
아이티엔방송,363413
슈퍼데크코리아,302829
산은부동산제오차유동화전문유한회사,426758
덕화산업,427474
국민카드이천이의일유동화전문유한회사,428695
마일스톤벤처투자,366508
에스비아이코리아,402208
씨티은행,175021
AllianzFinanceB.V.,429250
동의보감유동화전문유한회사,425777
세화기술투자,109125
미래에셋프리미어혼합형펀드,388810
마이다스차익거래안정혼합형펀드,383426
아이씨켐,146676
소프트윈,338152
신하나로유동화전문유한회사,438902
벽산건설블루밍제일차유동화전문유한회사,432856
이천일아울렛제일차유동화전문유한회사,431033
씨마유통,240866
캠앤아이코리아,440934
제이경영컨설팅,440952
태거산업,435598
마인드텔,350136
엘파오벤쳐캐피탈,350206
심스밸리,268288
LGEI,105846
유리크레디트회사채혼합형펀드,350756
알파캐피탈,149497
유니씨앤티,264778
미래에셋파이오니어벤처코스닥펀드,289227
디에이치파트너스,449184
근하종합개발호텔엑스포,369028
코락,152491
터보엔지니어링,445601
알파엔지니어링,407610
명성건설,146241
스카이함백,446071
비에스그룹,368384
삼부이엔씨,446840
두앙종합건설,245791
신성전자,449625
한국기업금융자문,375223
고룡,411631
아성식품,256326
세원지애에이치,367330
남양주택건설,371838
이조해운,246480
한서화학,359304
대륭전자,415600
서울에프엔텍파트너스,422910
팔공산온천관광호텔,451055
택산개발,448839
동진피엠씨,234670
대흥정공,224707
신대광주택,193568
아프로시스템스,415080
화진코스메틱,415053
모비야,414869
우리켐테크,365527
ABC,364245
캐피탈아거스,364005
유니솔,413329
세화유통,215222
용강,252481
기바전자,369897
에프에스비티아이코리아,310855
디지텍,370015
알에이코프,303448
매경휴스닥,404394
한국이연,201946
한원텔레콤,304207
진우,305093
탑종합건설,410720
썬키스,354354
위슬런,311049
대산반도체,412782
네오소프트,426615
드림에스디,164061
크레디피아제십구차유동화전문,381659
콩코드캐피탈아시아,382959
에이브이씨닷컴,118886
케이씨알파트너스,374835
동성투자,115700
오엔씨네트웍스,389192
씨에스지,346452
하이페리온제이차유동화전문유한회사,420356
부산유조선,425528
목동우림루미아트유동화전문유한회사,427784
천보파이낸스,244297
나라펫,428817
하이케어시스템즈,425740
우리금융제일차유동화전문유한회사,389086
키치녹스,425759
에이치에스제일차유동화전문유한회사,426721
신드림풀유동화전문유한회사,426651
넥센캐피탈,427951
종연산업,448112
성환,446655
삼두디엔에스,357111
삼희산업,193221
아이스타뮤직,407595
신흥울테크,367075
삼양이컴,448501
전주코아호텔,197856
헬리오스기업구조조정전문회사,378017
동일상사,207384
헨켈코리아,233927
센텍,255372
태흥기업,246693
만적,367932
성신무역,334341
새한철강,190224
한림종합개발,448291
동방귀석,445391
부곡관광,169321
에이취.엠.에스,434076
서통테크놀로지,205128
한경섬유,450250
세진티앤엠,368126
경기교통,175386
강호개발,205748
만덕,358378
한국어센셜소프트웨어,221409
와우북,414328
부풍,409982
세우무역,134149
신우종합건설,414461
중원,304508
아스트로,247753
한국멀티넷,368816
넥스트미디어아이,366085
일성리조트,412302
동광산건,387246
유렉셀테크놀러지,265050
성일컴퓨텍,236182
엠에프씨,296555
얼라이언스시스템,327226
대한주택이앤지,412852
원창판지,143970
한국피시,301404
대륙공업,109541
디지털테크놀러지,404880
드림데이타,393858
리첸시아유동화전문유한회사,385123
코리아페이넷,429010
디더블유씨유동화전문유한회사,424963
티지일차유동화전문유한회사,425768
피앤지정보통신,426749
인바인,330415
진흥주택,150794
굿앤세이프,429038
디바이너,421081
케이아이티창업투자,361734
외환카드제사차유동화전문유한회사,388768
오프마이십일,425421
창신테크,421850
파워엑시스,425315
삼성프론티어제십이차유동화전문유한회사,427580
쓰리엔제이차유동화전문유한회사,425218
낙산관광호텔,106951
현지개발,395661
케이티비벤처벌처일호펀드,275118
메타텍,295389
골든보우창업투자,389147
삼아,126803
에스엠아이씨,242341
오토피아제팔차유동화전문유한회사,440314
니즈솔루션,440332
이나라카드,441322
히타치전선,440165
미래에셋드림파이오니어펀드,288884
GPS,148452
하나은행,156017
시스컴,261045
개풍주택개발,437532
지오스테크널러지,303095
"IndusAsiaPacificFund,Ltd.",438753
지앤텍,367464
금화냉동,201955
혜성,409849
서통상사,131443
유창섬유,174022
피프,444763
모수인터내쇼날,412171
동해산업,232973
대농중공업,152419
신영팩토링,257413
승진건설,362511
아워스인베스트먼트,446743
태흥산업개발,253055
마하인더스트리,448714
모아건설,448705
경북레미콘,101716
그루빅,447876
라이프건설,448671
대진종합건설,217150
해피아이,164344
성서,303314
한신공업,451213
오랙스정유,407416
이논,178675
예들,367181
가인수산,413514
삼원산업,127538
유덕건설,370051
크로스전자,415123
금성텔,106012
한국아프라이드매그네틱스,158495
스타럽스,299774
텔레프리,414911
금화도시개발,414762
길정종합건설,234078
메디링스,412515
창원개발,151076
우신레저산업,170512
연이산업,370033
다른신문,406587
비투올네트,413471
성진사,248804
네투스테크놀러지,359854
동구,252870
비아이캐피탈,300432
세아개발,415938
SKIMT,345693
일신제약,426226
모아에셋,426235
그린페이퍼텍,376505
원업제이차유동화전문유한회사,427058
두손테크피아,427100
유니맥코리아,427331
아하크레딧유동화전문유한회사,429144
거버너스M&A사모펀드2호,429180
기가솔,419916
모쿠스,421009
남양산업,363796
에이팩스기술투자,302148
에스지테크놀러지,426314
도이체방크아게런던,427146
에이에스엠엘에스씨,245065
얼라이언스캐피탈파트너즈,427182
대진산업,382852
하늘사랑,362113
씨앤씨캐피탈,220756
한양상사,162319
"Photronics,Inc.",355511
무빙넷,400176
슈마커코리아,396402
유케이,439938
캐피탈리서치앤매니지먼트컴퍼니,337977
월드타운,436047
센텀파크유동화전문유한회사,387097
인트빔,274410
나래소프트시스템,328100
삼광고하켐,243845
OAKMARKINTERNATIONALFUND,336260
신중앙99-1유동화전문유한회사,262026
크레디피아유동화전문,264431
중소기업유동화전문유한회사,264495
산은캐피탈제일호유동화전문유한회사,267067
국민제이차유동화전문회사,290791
국민제일차유동화전문유한회사,297837
남양씨앤씨,429162
유일냉장,203643
평산공영,450108
파산자한국산업증권,171414
대홍방직,200549
도투락,114543
해덕기업,197607
이수금속,258263
세미코리아,363617
정방종합건설,450287
성우종합건설,413082
신아토건,449537
한일염공,163071
코스모건설,453239
한국방송출판,414267
태성개발,349088
월성주택건설,451514
심도산업,386830
코리아라이닝,410128
한라종합건설,161198
삼안공영,126849
제석주택,437824
한국모빌솔루션,363176
연화상사,299871
한강온천,340892
나우아이엔에스,415725
디아이씨,306205
비앤에스아이엔씨,371351
창원건설,369851
알루테크,415840
대상하이디어,246666
태강산업,153296
한륙전자,161268
영신산업,210476
이사이트랩,365581
영신플랜트,183598
정연산업,417088
아코텔레콤,415062
대영,172529
프라임플러스캐피탈,407337
에스티지시큐리티,405092
보성설비,226060
록정개발,206349
신아스포츠,217035
뉴라인여신금융,224318
중소기업제삼차유동화전문유한회사,424945
알비에이,428604
체리스톤코리아,424565
세모화학,226574
리딩씨앤씨,425157
폴리코,427340
산은굿밸류제일차유동화전문유한회사,427429
이프리즘,420453
디미디어,403696
유피텍,417592
티브이가이드,365998
스타코리아웹케스팅,412913
아라정보기술,421355
코리아컨텐츠네트워크,426439
티티월드,427386
흥산건설,167129
연덕건설,217707
비추미코리아제일차유동화전문유한회사,426518
크레디피아제삼십오차유동화전문유한회사,426536
아하론제삼차유동화전문유한회사,426545
동원제일차유동화전문,335951
케이투이,436588
지영상사,435349
아주의대벤처메딕스,331450
엑스퍼트유동화전문유한회사,341952
마이에셋유동화전문유한회사,342739
한아름제2차유동화전문유한회사,342988
에셋외환카드제이차유동화전문유한회사,436241
에셋외환카드제육차유동화전문유한회사,436269
타이거유동화전문유한회사,436296
서한전자,237491
동원직물,118099
청유,436685
서울전산,437107
씨에스,436490
선암건설,436524
아세텔레콤,435923
우리엘비제칠차유동화전문유한회사,437541
지오택드레인,437569
몬덱스코리아,336385
서광티앤씨,198253
로직스컴퓨터,354062
RedTulipInvestments,311818
아이산업개발,452267
비코레트,446141
우림엔지니어링건축사사무소,451365
백현건설,263627
우연종합건설,413912
용성조선,362618
송원자동차조명,202404
태산종합건설,450773
근도물산,252852
씨에스피산업,451879
삼흥판지,181217
인터내셔날쥬피텍,375728
대륙종합건설,445823
마시나코아,387167
부천산업,256885
바롬테크,452674
대방종합건설,449421
영도섬유,209230
미디어파트너스,412311
한이해운,233741
금영,299400
대준섬유,112518
두일,416760
벽송종합건설,397438
평해건설,198615
대동제지공업,363228
동서디엔씨,415257
케미스,369365
텔리맨,405126
과일나라,415266
넷츠고,361354
동승건설,415275
주영크리에이션,367446
태광엔터프라이즈,415673
한주종합건설,171751
유정건설,416797
세광종합건설,193407
금양레포츠,365943
게임벤처,363060
마이애셋사모M&A펀드B호,418892
하나로밀레니엄,418917
메트로에이전시,417370
국민카드제십차유동화전문유한회사,427508
시봉전자,367987
두산스피리츠,428020
게토코리아,382296
"AmkorTechnology,Inc.",297332
에이피엠쇼핑몰,378929
코텍,384735
아이거넷,303572
도원닷컴,399250
맥쿼리장기채권형펀드,434951
세이리딩스톡혼합형펀드,434988
세이고배당장기증권저축펀드,434997
세이고배당주식형펀드,435002
맥쿼리IMM슈페리어채권형사모펀드,435136
KTB채권형펀드,434331
글로벌퍼펙트혼합형펀드,434359
삼성중소형알짜주식형뮤추얼펀드,434377
KTB장기증권저축펀드1호,434386
KTB에이플러스2호혼합형사모펀드,434438
비비앤씨,286877
대청산업,436913
링컨아카데미,436366
디아이컨설팅,369116
네띠앙,261577
크레디피아제삼십팔차유동화전문유한회사,434261
산내들축산,222204
거장주택건설,436153
쓰리디컴넷,437967
대양식품,435914
태강건설,435899
국제전자정밀,437383
투어토털닷컴,351825
드림미르,415008
부광,436968
도원건설,436852
현우유통,436393
엘리온정보기술,261142
지석공영,439406
에쓰엠제일차자산유동화전문,421559
뉴밀레니엄코람제이차유동화전문유한회사,387060
렉스상사,434067
엔트,450409
협성염공,430283
디비엔지니어링,370875
삼양텍스,230878
얄개네트워크,409867
지트랜코리아,385044
삼보,173245
국민카드제구차유동화전문유한회사,423812
국민카드제십일차유동화전문유한회사,425661
하나로제4차유동화전문회사,273907
와이디세이프유동화전문유한회사,283533
늘푸른마을,445966
이노크래프트,450001
강동종합유선방송,449555
한림하우징,452443
